tweet_id,user_id,created_at,tweet,username,name,location,tweet_type,replied_to_id
1506336048326062096,296647469,2022-03-22T18:24:34.000Z,"@VodafoneUK 

GOODBYE FINALLY AFTER MORE THAN TWO DECADES……

I AT LAST REALISED MY CUSTOM MEANT VERY LITTLE TO YOU AND NOW ITS OFF TO PASTURES NEW WHERE 5G IS AVAILABLE WHERE I LIVE AND MY CONTRACT FEES COME DOWN NOT INCREASE BY 80% AS YOU WANTED TO DO THIS TIME! https://t.co/1YUHD8XJ88",emelschwartz,emeles: wheres my Blue Tick?🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇪🇺,"United Kingdom, Europe.",Original_tweet,Null
1506328869640589318,1099514911,2022-03-22T17:56:03.000Z,@Ker_Anderson @VodafoneUK At London Bridge again tonight - showing good 4G but no data connection - why can’t Vodafone just get the existing 4G working https://t.co/EahLx5SzzX,BromleyCommuter,MarkL,Bromley,replied_to,1506028592765050885
1506319993587310598,276430219,2022-03-22T17:20:47.000Z,@VodafoneUK We have cancelled our broadband. Thank you,Irishmike79,Mike McKernan 💙🇺🇦,"South East, England",replied_to,1506304507302535174
1506313034368700416,3095499018,2022-03-22T16:53:07.000Z,@VodafoneUK I completed the checks on Vodafone's trade in tool to trade in my old phone and get a monthly discount.  My old phone passed the checks but I keep getting texts saying I haven't completed them.  Is anyone else having this problem?,bajir1927,Clare McCarthy,"North West, England",Original_tweet,Null
1506305617870340101,1335239057929068544,2022-03-22T16:23:39.000Z,@VodafoneUK It shouldn’t be this difficult and the SIM’s shouldn’t have been blocked in the first place. All bills always paid on time…,JoshSimpson02,Josh,,replied_to,1506305496873115649
1506305496873115649,1335239057929068544,2022-03-22T16:23:10.000Z,"@VodafoneUK Account holder has already emailed twice, first time heard nothing back after a week after being told she would, now they’ve told her they’ll get back to her once they’ve looked into the account.",JoshSimpson02,Josh,,replied_to,1506305274696675331
1506304193698672645,1335239057929068544,2022-03-22T16:18:00.000Z,"@masonoleary3 @VodafoneUK They blocked my SIM last week, my Mum contacted them about it. Heard nothing back and now my Mum’s SIM has also been blocked. Said they’ll get back to her again… honestly the worst network ever.",JoshSimpson02,Josh,,replied_to,1506065951216779266
1506302780008509440,60612663,2022-03-22T16:12:23.000Z,"@VodafoneUK are seeking to sell their freehold on the #Newburycampus
#hampshire @Colliers 
https://t.co/D9h4JHy32K",TheBusinessMag,@TheBusinessMag,South East,Original_tweet,Null
1506300626862587909,192608384,2022-03-22T16:03:49.000Z,@VodafoneUK #DreamHoliday I’m going to Hawaii to make friends with a bear! https://t.co/g0qF3txtm0,diane_83,Diane,"Berks, UK",replied_to,1503778049203924994
1506300603210907649,276430219,2022-03-22T16:03:44.000Z,"@VodafoneUK 3 times I’ve told you and 3 times you haven’t listened. It’s not about the waiting. That’s understandable and we don’t mind waiting. It’s the fact that after a period of time, @VodafoneUK just cut you off. So you can’t wait 🙄",Irishmike79,Mike McKernan 💙🇺🇦,"South East, England",replied_to,1506299563728158728
1506298839166246920,1335239057929068544,2022-03-22T15:56:43.000Z,@VodafoneUK I’m so happy when… you stop removing our numbers from our account and we actually have signal,JoshSimpson02,Josh,,replied_to,1505484294088642563
1506297057115619328,276430219,2022-03-22T15:49:38.000Z,@VodafoneUK Sorry but that’s not good enough. You can’t wait as you eventually get cut off. Have proof of this if required. How do Vodafone plan to remedy this? Perhaps they could call us back if they are unable to accept calls,Irishmike79,Mike McKernan 💙🇺🇦,"South East, England",replied_to,1506296086872395778
1506293140701028356,276430219,2022-03-22T15:34:04.000Z,@VodafoneUK @Samanthasmall72 @VodafoneUK we have tried calling you on a daily basis for over a week. You end up on hold and then you get cut off. It is extremely frustrating. We are moving on 30th. You are not providing a service,Irishmike79,Mike McKernan 💙🇺🇦,"South East, England",replied_to,1506278960849694732
1506292850371268608,19991036,2022-03-22T15:32:55.000Z,@VodafoneUK This is the no we have been trying. It is very frustrating!,Samanthasmall72,Samantha Small 💙,UK,replied_to,1506278960849694732
1506288457362116620,466341559,2022-03-22T15:15:28.000Z,"@alansiddall1 Hi Alan, thanks for reaching out. Please contact @VodafoneUK who will be able to assist you with your query.",VodafoneGroup,Vodafone Group,"London, UK",replied_to,1506227366003101699
1506284814651072530,276430219,2022-03-22T15:00:59.000Z,"@VodafoneUK @Samanthasmall72 Hi Davo,
We tried this and went through the options. But as Samantha has said, you get cut off.",Irishmike79,Mike McKernan 💙🇺🇦,"South East, England",replied_to,1506278960849694732
1506276107808645122,2787765989,2022-03-22T14:26:24.000Z,@VodafoneUK why is your signal so poor?  This is making me very sad today 😢😡,WKD_99,wendy king,Next to the New Forest & sea,Original_tweet,Null
1506275959250604043,19991036,2022-03-22T14:25:48.000Z,"@VodafoneUK Hi Jason, Trying to arrange to move our broadband to our new house. Cannot do so online, tried calling a few times, get so far &amp; call ends. Been trying for one week!",Samanthasmall72,Samantha Small 💙,UK,replied_to,1506272839338536965
1506269252508078083,125409099,2022-03-22T13:59:09.000Z,Loving the #VeryMe #VeryMeRewards part of the #MyVodafone app right now. Got some good deals from @JustEatUK @CostaCoffee and @ManCave in the past now a free set from @gruum_hq too. Great job @VodafoneUK well done guys 💯❤️💯 https://t.co/n4HoqrR6Hr,JamesRoberts330,Jay Alan Roberts,"Knowsley, England",Original_tweet,Null
1506268308328398852,346701115,2022-03-22T13:55:24.000Z,@Apple is it possible yet to stop a blocked number from leaving you voicemail messages? I have spoken to @VodafoneUK and they think it’s down to the handset? Any help much appreciated,SarahPage29,Sarah Page,Buckinghamshire ,Original_tweet,Null
1506267503848271872,346701115,2022-03-22T13:52:12.000Z,"@VodafoneUK Yes you get notified as a text message, but thank you I shall contact @Apple",SarahPage29,Sarah Page,Buckinghamshire ,replied_to,1506261912853565444
1506266900296310792,19991036,2022-03-22T13:49:48.000Z,@VodafoneUK I’m having difficulty accessing help via the app or calling the helpline. It’s very frustrating! Please can someone advise?,Samanthasmall72,Samantha Small 💙,UK,Original_tweet,Null
1506264615298158599,127029223,2022-03-22T13:40:43.000Z,@VodafoneUK I’m trying to arrange my house move,rorcon,Ste Hal,"Newcastle Upon Tyne, England",replied_to,1506258537441280001
1506263523327987721,296647469,2022-03-22T13:36:23.000Z,"@WhichMoney Don't agree....
Just changed two numbers after 20 years with @VodafoneUK to @SkyUK primarily because the customer support at Vodafone was so appallingly bad and the choice of going to Sky was due to their excellent call centre service support

GOODBYE Vodafone.......your loss! https://t.co/7Y2FKMZMU4",emelschwartz,emeles: wheres my Blue Tick?🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇪🇺,"United Kingdom, Europe.",replied_to,1506262422612414464
